Category,University,Faculty,Program,2022,2023,2024
آداب,جامعة جندوبة,المعهد العالي للعلوم الإنسانية بجندوبة,الإجازة في الفرنسية,67.0215,73.4876,76.0798
آداب,جامعة جندوبة,المعهد العالي للعلوم الإنسانية بجندوبة,الإجازة في التاريخ,76.2902,70.2082,77.2846
آداب,جامعة جندوبة,المعهد العالي للعلوم الإنسانية بجندوبة,الاجازة في جغرافية البيئة,85.3333,83.8732,79.0185
آداب,جامعة جندوبة,المعهد العالي للعلوم الإنسانية بجندوبة,الإجازة في التربية والتعليم,121.315,99.4983,120.37
آداب,جامعة جندوبة,المعهد العالي للغات التطبيقية و الاعلامية بباجة,الإجازة في الإنقليزية,77.4637,74.5668,74.5611
آداب,جامعة جندوبة,المعهد العالي للرياضة والتربية البدنية بالكاف,الإجازة في علوم وتقنيات الأنشطة البدنية والرياضة,136.89,129.9355,131.0697
آداب,جامعة جندوبة,المعهد العالي للموسيقى و المسرح بالكاف,الإجازة في المسرح و فنون العرض,76.0298,94.7884,95.0467
آداب,جامعة جندوبة,المعهد العالي للموسيقى و المسرح بالكاف,الإجازة في الموسيقى و العلوم الموسيقية,89.6367,89.714,89.7675
آداب,جامعة جندوبة,المعهد العالي للفنون و الحرف بسليانة,الإجازة في الفنون التشكيلية,80.4935,83.0882,79.2959
آداب,جامعة جندوبة,المعهد العالي للفنون و الحرف بسليانة,الإجازة في تصميم الفضاء,116.4783,115.33,110.0228
آداب,جامعة جندوبة,المعهد العالي للفنون و الحرف بسليانة,الاجازة في تصميم الصورة,100.553,102.5863,96.4105
آداب,جامعة جندوبة,المعهد العالي لعلوم التمريض بالكاف,الإجازة في علوم التمريض-اناث,165.8607,159.7885,125.305
آداب,جامعة جندوبة,المعهد العالي لعلوم التمريض بالكاف,الإجازة في علوم التمريض-ذكور,136.9119,129.6305,142.8236
آداب,جامعة قابس,المعهد العالي للغات بقابس,الإجازة في العربية,96.3001,92.3033,96.3372
آداب,جامعة قابس,المعهد العالي للغات بقابس,الإجازة في الإنقليزية,97.9853,92.54,92.205
آداب,جامعة قابس,المعهد العالي للغات بقابس,الإجازة في الفرنسية,65.8264,72.8902,71.9767
آداب,جامعة قابس,المعهد العالي للغات بقابس,الإجازة في الإسبانية,99.6652,85.8515,95.337
آداب,جامعة قابس,المعهد العالي للغات بقابس,الإجازة في الإيطالية,105.1168,98.9136,100.1717
آداب,جامعة قابس,المعهد العالي للغات بقابس,الإجازة في الألمانية,102.18,85.9834,89.5302
آداب,جامعة قابس,المعهد العالي للغات بقابس,الإجازة في التربية والتعليم,126.295,97.44,127.275
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بقابس,الإجازة في المحافظة على الممتلكات الثقافية و ترميمها,94.4188,77.5751,87.3425
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بقابس,الإجازة في الموسيقى و العلوم الموسيقية,96.35,83.5101,98.8912
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بقابس,الإجازة في الفنون التشكيلية,93.4903,88.3801,89.1381
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بقابس,الإجازة في تصميم الفضاء,117.58,108.27,112.5961
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بقابس,الاجازة في تصميم الصورة,103.8061,101.4307,101.9435
آداب,جامعة قابس,المعهد العالي للإعلامية و الملتيميديا بقابس,الإجازة في الفنون و الوسائط,116.4642,103.5332,128.1325
آداب,جامعة قابس,المعهد العالي للدراسات القانونية بقابس,الإجازة في القانون,104.7102,96.84,101.6483
آداب,جامعة قابس,المعهد العالي للعلوم الإنسانية بمدنين,الإجازة في العربية,90.84,84.6116,88.9252
آداب,جامعة قابس,المعهد العالي للعلوم الإنسانية بمدنين,الإجازة في الإنقليزية,77.8635,73.0135,75.8499
آداب,جامعة قابس,المعهد العالي للعلوم الإنسانية بمدنين,الإجازة في الفرنسية,71.2099,75.2785,81.8119
آداب,جامعة قابس,المعهد العالي للعلوم الإنسانية بمدنين,الإجازة في الألمانية,84.9267,77.9431,97.2878
آداب,جامعة قابس,المعهد العالي للعلوم الإنسانية بمدنين,الإجازة في التربية والتعليم,117.825,96.485,118.93
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بتطاوين,الإجازة في الأنتروبولوجيا,94.9463,93.585,96.669
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بتطاوين,الإجازة في الفنون التشكيلية,86.3829,80.7868,87.6832
آداب,جامعة قابس,المعهد العالي للفنون و الحرف بتطاوين,الإجازة في تصميم الفضاء,120.145,110.2903,112.3394
